artist,birth_year,death_year,artwork,completion_year,age_at_creation,years_creation_to_death,movement_nationality,source_url,note
Jan van Eyck,1390,1441,The Arnolfini Portrait,1434,44,7,Early Netherlandish,https://en.wikipedia.org/wiki/Jan_van_Eyck,van Eyck birth year approximate (c.1390 or c.1380 per sources)
Sandro Botticelli,1445,1510,The Birth of Venus,1485,40,25,"Italian, Early Renaissance",https://en.wikipedia.org/wiki/Sandro_Botticelli,
Hieronymus Bosch,1450,1516,The Garden of Earthly Delights,1500,50,16,Netherlandish,https://en.wikipedia.org/wiki/Hieronymus_Bosch,completion range c.1490-1500
Leonardo da Vinci,1452,1519,Mona Lisa,1506,54,13,"Italian, High Renaissance",https://en.wikipedia.org/wiki/Mona_Lisa,completion range 1503-1506
Raphael,1483,1520,The School of Athens,1511,28,9,"Italian, High Renaissance",https://en.wikipedia.org/wiki/The_School_of_Athens,completion range 1509-1511
Michelangelo,1475,1564,Sistine Chapel ceiling,1512,37,52,"Italian, High Renaissance",https://en.wikipedia.org/wiki/Michelangelo,completion range 1508-1512
Hans Holbein the Younger,1497,1543,The Ambassadors,1533,36,10,"German/English, Northern Renaissance",https://en.wikipedia.org/wiki/The_Ambassadors_(Holbein),
Titian,1490,1576,Venus of Urbino,1534,44,42,"Italian, Venetian Renaissance",https://en.wikipedia.org/wiki/Venus_of_Urbino,Titian birth year approximate c.1488/90
Artemisia Gentileschi,1593,1654,Judith Slaying Holofernes,1613,20,41,"Italian, Baroque","https://en.wikipedia.org/wiki/Judith_Slaying_Holofernes_(Artemisia_Gentileschi,_Naples)",completion range 1612-13; death c.1654
Rembrandt van Rijn,1606,1669,The Night Watch,1642,36,27,"Dutch, Baroque/Golden Age",https://en.wikipedia.org/wiki/The_Night_Watch,
Diego Velazquez,1599,1660,Las Meninas,1656,57,4,"Spanish, Baroque",https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez,
Johannes Vermeer,1632,1675,Girl with a Pearl Earring,1667,35,8,"Dutch, Golden Age",https://en.wikipedia.org/wiki/Girl_with_a_Pearl_Earring,completion range 1665-1667
George Stubbs,1724,1806,Whistlejacket,1762,38,44,"British, Sporting/Equine art",https://en.wikipedia.org/wiki/Whistlejacket,
Jean-Honore Fragonard,1732,1806,The Swing,1768,36,38,"French, Rococo",https://en.wikipedia.org/wiki/The_Swing_(Fragonard),completion range 1767-68
Thomas Gainsborough,1727,1788,The Blue Boy,1770,43,18,"British, Rococo/Portraiture",https://en.wikipedia.org/wiki/The_Blue_Boy,
Jacques-Louis David,1748,1825,The Death of Marat,1793,45,32,"French, Neoclassicism",https://en.wikipedia.org/wiki/The_Death_of_Marat,
Jacques-Louis David,1748,1825,Napoleon Crossing the Alps,1801,53,24,"French, Neoclassicism",https://en.wikipedia.org/wiki/Napoleon_Crossing_the_Alps,
Francisco Goya,1746,1828,The Third of May 1808,1814,68,14,"Spanish, Romanticism",https://en.wikipedia.org/wiki/The_Third_of_May_1808,
Caspar David Friedrich,1774,1840,Wanderer above the Sea of Fog,1818,44,22,"German, Romanticism",https://en.wikipedia.org/wiki/Wanderer_above_the_Sea_of_Fog,completion range c.1817-1818
Theodore Gericault,1791,1824,The Raft of the Medusa,1819,28,5,"French, Romanticism",https://en.wikipedia.org/wiki/The_Raft_of_the_Medusa,completion range 1818-19
John Constable,1776,1837,The Hay Wain,1821,45,16,"British, Romanticism",https://en.wikipedia.org/wiki/The_Hay_Wain,
Eugene Delacroix,1798,1863,Liberty Leading the People,1830,32,33,"French, Romanticism",https://en.wikipedia.org/wiki/Liberty_Leading_the_People,
Katsushika Hokusai,1760,1849,The Great Wave off Kanagawa,1831,71,18,"Japanese, Edo/Ukiyo-e",https://en.wikipedia.org/wiki/The_Great_Wave_off_Kanagawa,
